"Ano 1º Sintoma(s)";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"Em Branco/ign";7;1;1;-;-;-;2;-;-;-;-;-;2;13
"2017";-;13521;17723;37826;57241;56919;25547;14342;8081;4339;3342;3383;3641;245905
"2018";-;10273;11433;18224;19900;16244;10437;8536;5994;4095;3946;3868;3768;116718
"2019";-;9158;9671;16934;32127;40314;24857;17170;9707;6245;5417;4101;4287;179988
"2020";-;7837;8795;9249;12171;17649;14408;11656;6488;4059;3090;2641;2021;100064
"2021";-;4194;8522;18153;17706;20709;19004;13741;8870;6109;4336;4012;5253;130609
"2022";-;7773;14981;34032;49295;59567;39810;24211;15007;7581;5294;5274;8670;271495
"2023";-;24959;36903;47956;43470;33816;16083;9155;6341;4596;5037;7943;12612;248871
"2024";-;48573;86893;95914;64790;43430;19577;10895;7451;5804;5576;6669;8148;403720
"2025";-;32083;36674;38964;36771;35196;17165;10787;8447;7623;5434;377;-;229521
