UF;População;Casos novos notificados na semana epidemiológica;Casos Acumulados;Incidência covid-19 (100 mil hab);Óbitos novos notificados na semana epidemiológica;Óbitos Acumulados;Taxa mortalidade (100 mil hab)
AC;881.935;79;174.977;576,46;0;2.118;3,74
AL;3.337.357;25;351.119;64,39;0;7.380;0,75
AM;4.144.597;184;649.618;139,63;0;14.556;0,46
AP;845.731;754;194.518;308,25;0;2.178;0,35
BA;14.873.064;0;1.854.362;47,87;0;32.147;0,53
CE;9.132.078;0;1.536.345;200,61;0;28.215;0,00
DF;3.015.268;465;965.303;291,72;0;12.051;0,76
ES;4.018.650;171;1.402.991;345,12;1;15.259;0,77
GO;7.018.354;784;2.076.631;229,58;0;28.660;-0,13
MA;7.075.181;32;503.135;28,31;0;11.109;0,07
MG;21.168.791;636;4.374.882;121,66;8;67.205;1,18
MS;2.778.986;216;641.772;187,37;2;11.355;1,48
MT;3.484.466;58;933.832;340,97;0;15.281;0,72
PA;8.602.865;0;907.516;70,58;0;19.343;0,55
PB;4.018.127;0;732.368;144,15;0;10.748;1,62
PE;9.557.071;304;1.244.786;95,49;1;23.302;0,64
PI;3.273.227;0;439.260;17,23;0;8.449;0,12
PR;11.433.957;0;3.041.284;32,61;0;47.082;-0,21
RJ;17.264.943;1.238;3.000.244;115,38;4;78.473;0,98
RN;3.506.853;35;605.445;99,01;0;9.354;0,88
RO;1.777.225;0;505.111;0,00;0;7.527;0,00
RR;605.761;163;193.116;447,70;0;2.200;-0,33
RS;11.377.239;270;3.167.035;87,67;2;43.258;1,16
SC;7.164.788;348;2.103.543;102,17;0;23.250;0,96
SE;2.298.696;15;368.851;27,67;0;6.592;0,65
SP;45.919.049;2.293;6.960.637;94,86;0;185.212;2,01
TO;1.572.866;0;389.546;452,49;0;4.322;0,95
