"Ano 1º Sintoma(s)";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"2016";42673;77108;71771;42120;20040;8611;4324;2768;1611;1745;1984;2317;277072
"2017";4227;4132;5400;4775;4597;2679;1521;1105;835;923;958;1073;32225
"2018";1913;2063;2957;2585;2143;1538;1568;1252;903;1003;1071;1096;20092
"2019";2352;2911;3672;4446;5342;3621;2547;1818;1241;1095;906;849;30800
"2020";1878;2275;2438;2533;3067;2269;2060;1322;763;745;706;581;20637
"2021";839;1052;1569;2112;2857;2942;2346;1479;1090;869;959;998;19112
"2022";1371;1893;3227;4732;8180;5581;3542;2247;1128;937;1019;929;34786
"2023";2005;2622;4207;3568;2793;1691;1440;1135;754;734;825;1004;22778
"2024";3459;6482;8989;6631;3792;1931;1372;1127;996;832;976;1319;37906
"2025";2681;3252;3852;3506;2930;1650;1323;1258;949;253;-;-;21654
