PROC_REA,Nome_Regiao,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
303010037,Centro-Oeste,120,2025,1,12062852.0,6962414.0,16489976.0
303010037,Centro-Oeste,121,2025,2,12479403.0,7059273.0,16291460.0
303010037,Centro-Oeste,122,2025,3,12714376.0,7198271.5,16042984.0
303010037,Centro-Oeste,123,2025,4,12800637.0,7330248.0,15792513.0
303010037,Centro-Oeste,124,2025,5,12793559.0,7443822.5,15557819.0
303010037,Centro-Oeste,125,2025,6,12738481.0,7537452.5,15332517.0
303010037,Centro-Oeste,126,2025,7,12656284.0,7609984.5,15113188.0
303010037,Centro-Oeste,127,2025,8,12560283.0,7666189.0,14902113.0
303010037,Centro-Oeste,128,2025,9,12454958.0,7707497.5,14696592.0
303010037,Centro-Oeste,129,2025,10,12338861.0,7735930.0,14491251.0
303010037,Centro-Oeste,130,2025,11,12214826.0,7750825.0,14293004.0
303010037,Centro-Oeste,131,2025,12,12088902.0,7756614.5,14099944.0
303010037,Centro-Oeste,132,2026,1,12686616.0,7850630.0,19913180.0
303010037,Centro-Oeste,133,2026,2,13808198.0,7962754.0,20264648.0
303010037,Centro-Oeste,134,2026,3,15041180.0,8260922.5,20307326.0
303010037,Centro-Oeste,135,2026,4,15799804.0,8599229.0,20003820.0
303010037,Centro-Oeste,136,2026,5,16102180.0,8877462.0,19618706.0
303010037,Centro-Oeste,137,2026,6,16154970.0,9080093.0,19273588.0
303010037,Centro-Oeste,138,2026,7,16093154.0,9222028.0,18965516.0
303010037,Centro-Oeste,139,2026,8,15983547.0,9319938.0,18684772.0
303010037,Centro-Oeste,140,2026,9,15847249.0,9389543.0,18422266.0
303010037,Centro-Oeste,141,2026,10,15699650.0,9438850.0,18168960.0
303010037,Centro-Oeste,142,2026,11,15548592.0,9468818.0,17932984.0
303010037,Centro-Oeste,143,2026,12,15395552.0,9487927.0,17710034.0
303010037,Centro-Oeste,144,2027,1,16212136.0,10669171.0,21570374.0
303010037,Centro-Oeste,145,2027,2,17258024.0,10845561.0,21634858.0
303010037,Centro-Oeste,146,2027,3,17982306.0,11127751.0,21435480.0
303010037,Centro-Oeste,147,2027,4,18305700.0,11390574.0,21164302.0
303010037,Centro-Oeste,148,2027,5,18389828.0,11590447.0,20914578.0
303010037,Centro-Oeste,149,2027,6,18359688.0,11731590.0,20690362.0
303010037,Centro-Oeste,150,2027,7,18278346.0,11831657.0,20482728.0
303010037,Centro-Oeste,151,2027,8,18172392.0,11901526.0,20287042.0
303010037,Centro-Oeste,152,2027,9,18055374.0,11948473.0,20098514.0
303010037,Centro-Oeste,153,2027,10,17931274.0,11980512.0,19918878.0
303010037,Centro-Oeste,154,2027,11,17811868.0,12001462.0,19748872.0
303010037,Centro-Oeste,155,2027,12,17689846.0,12014036.0,19590250.0
303010037,Centro-Oeste,156,2028,1,21285226.0,13953734.0,27526168.0
303010037,Centro-Oeste,157,2028,2,22577204.0,14172121.0,27603614.0
303010037,Centro-Oeste,158,2028,3,23424870.0,14514460.0,27379556.0
303010037,Centro-Oeste,159,2028,4,23797752.0,14828253.0,27093780.0
