PA_PROC_ID,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
202020380,120,2025,1,27506536.0,23736902.0,31045896.0
202020380,121,2025,2,27968928.0,24362704.0,31341688.0
202020380,122,2025,3,28340378.0,24873454.0,31456736.0
202020380,123,2025,4,28626828.0,25279640.0,31469856.0
202020380,124,2025,5,28843928.0,25594068.0,31426680.0
202020380,125,2025,6,29003902.0,25831808.0,31367408.0
202020380,126,2025,7,29131456.0,26029096.0,31311692.0
202020380,127,2025,8,29231328.0,26203112.0,31262918.0
202020380,128,2025,9,29308768.0,26351142.0,31219506.0
202020380,129,2025,10,29359276.0,26459884.0,31172332.0
202020380,130,2025,11,29386448.0,26525446.0,31117894.0
202020380,131,2025,12,29403904.0,26565454.0,31065796.0
202020380,132,2026,1,31186562.0,27290124.0,34391776.0
202020380,133,2026,2,31696376.0,27998018.0,34710024.0
202020380,134,2026,3,32085600.0,28556500.0,34810130.0
202020380,135,2026,4,32369176.0,28978092.0,34804744.0
202020380,136,2026,5,32569822.0,29284642.0,34746810.0
202020380,137,2026,6,32712494.0,29509048.0,34677492.0
202020380,138,2026,7,32823544.0,29689478.0,34619320.0
202020380,139,2026,8,32911958.0,29847388.0,34568176.0
202020380,140,2026,9,32979338.0,29983524.0,34527044.0
202020380,141,2026,10,33019306.0,30080328.0,34481510.0
202020380,142,2026,11,33042474.0,30142676.0,34431300.0
202020380,143,2026,12,33051566.0,30175680.0,34378730.0
202020380,144,2027,1,32100350.0,29170414.0,34144920.0
202020380,145,2027,2,32435820.0,29651226.0,34345656.0
202020380,146,2027,3,32687372.0,30025806.0,34403356.0
202020380,147,2027,4,32867576.0,30308272.0,34394950.0
202020380,148,2027,5,32997152.0,30515280.0,34358290.0
202020380,149,2027,6,33092980.0,30670438.0,34315176.0
202020380,150,2027,7,33166428.0,30794864.0,34278676.0
202020380,151,2027,8,33228536.0,30907622.0,34252940.0
202020380,152,2027,9,33273864.0,31004426.0,34228470.0
202020380,153,2027,10,33303742.0,31076544.0,34203052.0
202020380,154,2027,11,33319886.0,31124284.0,34170916.0
202020380,155,2027,12,33326912.0,31152398.0,34137480.0
202020380,156,2028,1,34202350.0,31688182.0,35804344.0
202020380,157,2028,2,34477564.0,32117086.0,35975430.0
202020380,158,2028,3,34681336.0,32444732.0,36010904.0
202020380,159,2028,4,34820652.0,32679270.0,35985692.0
202020380,160,2028,5,34916596.0,32846184.0,35938636.0
202020380,161,2028,6,34987676.0,32969214.0,35892324.0
202020380,162,2028,7,35042692.0,33068718.0,35854468.0
202020380,163,2028,8,35086668.0,33154984.0,35822780.0
202020380,164,2028,9,35118690.0,33231256.0,35797480.0
202020380,165,2028,10,35138884.0,33287608.0,35771296.0
202020380,166,2028,11,35148444.0,33323336.0,35741504.0
202020380,167,2028,12,35151064.0,33343668.0,35709090.0
202020380,168,2029,1,35290496.0,33429620.0,36425336.0
202020380,169,2029,2,35467350.0,33730460.0,36516464.0
202020380,170,2029,3,35594150.0,33953440.0,36508880.0
202020380,171,2029,4,35679356.0,34109800.0,36465930.0
202020380,172,2029,5,35737772.0,34218804.0,36414204.0
202020380,173,2029,6,35780640.0,34298960.0,36369824.0
202020380,174,2029,7,35813828.0,34364350.0,36332840.0
202020380,175,2029,8,35840356.0,34421360.0,36304544.0
202020380,176,2029,9,35860270.0,34472796.0,36282468.0
202020380,177,2029,10,35871696.0,34512620.0,36259764.0
202020380,178,2029,11,35875916.0,34536124.0,36234260.0
202020380,179,2029,12,35876388.0,34550410.0,36208540.0
202020380,180,2030,1,36125068.0,34568540.0,37054588.0
202020380,181,2030,2,36266104.0,34824348.0,37111876.0
202020380,182,2030,3,36365700.0,35010396.0,37082556.0
202020380,183,2030,4,36430480.0,35138228.0,37027100.0
202020380,184,2030,5,36473990.0,35224790.0,36971612.0
202020380,185,2030,6,36504984.0,35287092.0,36925620.0
202020380,186,2030,7,36530148.0,35336640.0,36890344.0
202020380,187,2030,8,36548932.0,35381560.0,36861790.0
202020380,188,2030,9,36562810.0,35422130.0,36840224.0
202020380,189,2030,10,36570516.0,35452430.0,36820230.0
202020380,190,2030,11,36572852.0,35471680.0,36796844.0
202020380,191,2030,12,36572116.0,35482064.0,36774696.0
202020380,192,2031,1,36378196.0,35457590.0,36851416.0
202020380,193,2031,2,36461396.0,35613764.0,36888856.0
202020380,194,2031,3,36517844.0,35724320.0,36869230.0
202020380,195,2031,4,36553096.0,35798148.0,36835916.0
202020380,196,2031,5,36576230.0,35847520.0,36802370.0
202020380,197,2031,6,36592776.0,35882704.0,36774064.0
202020380,198,2031,7,36606100.0,35910396.0,36753240.0
202020380,199,2031,8,36616680.0,35935570.0,36738812.0
202020380,200,2031,9,36624760.0,35959560.0,36727212.0
202020380,201,2031,10,36627936.0,35976710.0,36715388.0
202020380,202,2031,11,36629148.0,35987588.0,36703116.0
202020380,203,2031,12,36627932.0,35993064.0,36689530.0
202020380,204,2032,1,37267396.0,36393170.0,37638390.0
202020380,205,2032,2,37347296.0,36546764.0,37678360.0
202020380,206,2032,3,37400690.0,36655104.0,37662708.0
202020380,207,2032,4,37432200.0,36724336.0,37631720.0
202020380,208,2032,5,37452500.0,36770050.0,37600620.0
202020380,209,2032,6,37466470.0,36801436.0,37574132.0
202020380,210,2032,7,37478180.0,36826760.0,37556892.0
202020380,211,2032,8,37487580.0,36851052.0,37542880.0
202020380,212,2032,9,37494670.0,36872696.0,37533296.0
202020380,213,2032,10,37498360.0,36889140.0,37524096.0
202020380,214,2032,11,37498724.0,36899320.0,37513040.0
202020380,215,2032,12,37497204.0,36904788.0,37501396.0
202020380,216,2033,1,37095120.0,36648692.0,37254188.0
202020380,217,2033,2,37136730.0,36730216.0,37275870.0
202020380,218,2033,3,37162664.0,36785496.0,37267344.0
202020380,219,2033,4,37177980.0,36820624.0,37251576.0
202020380,220,2033,5,37187250.0,36843320.0,37235580.0
202020380,221,2033,6,37193916.0,36858796.0,37222576.0
202020380,222,2033,7,37199650.0,36871548.0,37213400.0
202020380,223,2033,8,37204160.0,36883384.0,37207172.0
202020380,224,2033,9,37207544.0,36894236.0,37202640.0
202020380,225,2033,10,37209330.0,36902772.0,37198452.0
202020380,226,2033,11,37209450.0,36908004.0,37193428.0
202020380,227,2033,12,37208836.0,36910504.0,37187820.0
202020380,228,2034,1,37607656.0,37219220.0,37732156.0
202020380,229,2034,2,37644150.0,37292904.0,37750684.0
202020380,230,2034,3,37666372.0,37342210.0,37741340.0
202020380,231,2034,4,37678824.0,37372696.0,37725212.0
202020380,232,2034,5,37686370.0,37391690.0,37709976.0
202020380,233,2034,6,37691580.0,37405150.0,37697570.0
202020380,234,2034,7,37696184.0,37415716.0,37689308.0
202020380,235,2034,8,37700188.0,37425876.0,37684130.0
202020380,236,2034,9,37702772.0,37435370.0,37680228.0
202020380,237,2034,10,37704340.0,37442676.0,37677224.0
202020380,238,2034,11,37704372.0,37447016.0,37672600.0
202020380,239,2034,12,37703724.0,37449444.0,37668040.0
212010050,120,2025,1,20196082.0,18381332.0,21780062.0
212010050,121,2025,2,20258488.0,18414862.0,21996478.0
212010050,122,2025,3,20412752.0,18556464.0,22195196.0
212010050,123,2025,4,20604362.0,18749450.0,22363330.0
212010050,124,2025,5,20782992.0,18935736.0,22489936.0
212010050,125,2025,6,20925126.0,19083204.0,22584916.0
212010050,126,2025,7,21031934.0,19194562.0,22660310.0
212010050,127,2025,8,21115258.0,19282242.0,22728602.0
212010050,128,2025,9,21183498.0,19359470.0,22788892.0
212010050,129,2025,10,21245760.0,19432736.0,22832842.0
212010050,130,2025,11,21304532.0,19505374.0,22857988.0
212010050,131,2025,12,21366776.0,19584064.0,22872000.0
212010050,132,2026,1,22404124.0,19615154.0,24766358.0
212010050,133,2026,2,22510096.0,19677706.0,25092124.0
212010050,134,2026,3,22728728.0,19882100.0,25366234.0
212010050,135,2026,4,22998250.0,20160172.0,25591950.0
212010050,136,2026,5,23242394.0,20419972.0,25757672.0
212010050,137,2026,6,23443972.0,20637036.0,25882980.0
212010050,138,2026,7,23596276.0,20801206.0,25987248.0
212010050,139,2026,8,23721560.0,20939632.0,26083102.0
212010050,140,2026,9,23832160.0,21069328.0,26173624.0
212010050,141,2026,10,23928048.0,21187656.0,26238204.0
212010050,142,2026,11,24026522.0,21315554.0,26275902.0
212010050,143,2026,12,24121684.0,21441704.0,26294152.0
212010050,144,2027,1,24715026.0,22808716.0,25967408.0
212010050,145,2027,2,24982512.0,23220876.0,26120774.0
212010050,146,2027,3,25170960.0,23529464.0,26150194.0
212010050,147,2027,4,25297078.0,23750846.0,26125198.0
212010050,148,2027,5,25380920.0,23902242.0,26080432.0
212010050,149,2027,6,25438966.0,24010370.0,26037386.0
212010050,150,2027,7,25481640.0,24091194.0,26003572.0
212010050,151,2027,8,25513624.0,24158444.0,25979100.0
212010050,152,2027,9,25536308.0,24215612.0,25961182.0
212010050,153,2027,10,25551804.0,24259998.0,25945140.0
212010050,154,2027,11,25560668.0,24288746.0,25925264.0
212010050,155,2027,12,25566144.0,24309384.0,25905620.0
212010050,156,2028,1,25472856.0,23967830.0,26264436.0
212010050,157,2028,2,25634462.0,24244976.0,26358262.0
212010050,158,2028,3,25747256.0,24450562.0,26361220.0
212010050,159,2028,4,25821846.0,24596118.0,26329728.0
212010050,160,2028,5,25872864.0,24697974.0,26289274.0
212010050,161,2028,6,25908644.0,24770726.0,26253240.0
212010050,162,2028,7,25936796.0,24828124.0,26226762.0
212010050,163,2028,8,25957846.0,24878182.0,26207912.0
212010050,164,2028,9,25974094.0,24921332.0,26195518.0
